Reference area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
E92000001 England,3.5352,3.67037,3.85724,4.20719,4.46613,5.07279,5.83444,6.58373,6.81323,6.96636,7.23233,6.93091,6.26963,7.01259,6.69252,6.73636
E10000034 Worcestershire,4.17698,4.10012,4.36927,4.68134,5.13099,6.05004,7.13503,7.73404,7.99998,7.9998,8.32838,8.02745,7.11537,7.4253,7.44473,7.40969
E10000032 West Sussex,3.97142,4.36677,4.65435,5.51774,5.94416,6.63962,7.87471,8.44943,8.89743,9.20877,9.86592,9.39898,7.9278,9.00045,8.57492,8.64409
E10000031 Warwickshire,3.96072,3.86323,4.21393,4.66895,4.81584,5.73005,6.31385,6.94215,7.34589,7.0048,7.0935,6.87284,6.10866,6.89954,6.66616,6.82272
E10000030 Surrey,5.05321,5.741,6.08953,7.02623,7.17664,7.55008,8.57359,9.09358,9.2506,9.3431,9.7682,9.54114,8.52685,9.9994,9.6323,9.40572
E10000029 Suffolk,3.54184,3.63691,3.86793,4.29774,4.39815,5.23957,6.11458,6.98655,7.4151,7.18862,7.55969,7.37564,6.39847,7.02021,6.7578,6.95911
E10000028 Staffordshire,3.54345,3.3931,3.48188,3.69548,3.93127,4.36535,5.19705,6.13754,6.47926,6.76971,6.91978,6.52143,5.97552,6.14075,5.97202,6.10654
E10000027 Somerset,3.67328,3.81453,3.94573,4.65561,4.75627,5.6781,6.79305,7.74264,7.86009,7.4939,8.10174,8.37304,7.24968,7.733,7.28869,7.51314
E10000025 Oxfordshire,4.49179,4.87291,5.25813,6.00283,6.52579,6.91956,7.85484,8.21716,8.41297,8.61121,9.01973,9.23056,7.96225,8.89115,8.53198,8.75031
E10000024 Nottinghamshire,3.16083,3.33304,3.34626,3.58529,3.60752,4.09391,4.86181,6.17499,6.03735,6.04708,6.16016,5.80486,5.37134,5.6305,5.73141,5.50019
E10000023 North Yorkshire,4.20438,4.14884,4.17054,4.38613,4.69322,5.13397,6.47829,7.58805,8.31821,8.38002,8.49024,7.82066,6.93127,7.76783,7.4125,7.48866
E10000021 Northamptonshire,3.23212,3.48725,3.40206,3.90752,4.28001,4.68556,5.61563,6.39989,6.53622,6.67553,6.80004,6.52906,5.9308,6.24944,6.29537,6.29398
E10000020 Norfolk,3.25492,3.40766,3.38402,3.80587,4.17234,5.0463,6.29991,6.96626,7.20374,7.25154,7.73513,7.47565,6.3711,6.91497,6.28085,6.43714
E10000019 Lincolnshire,3.2819,3.30995,3.29407,3.5942,3.78835,4.34643,5.32818,6.72934,6.95863,6.80608,7.08248,6.66607,5.95383,6.09576,6.04628,6.03995
E10000018 Leicestershire,3.3262,3.47063,3.7121,3.86097,4.11947,4.5901,5.82171,6.40889,6.81666,6.69323,7.10578,6.50415,5.99167,6.38154,6.24013,6.32127
E10000017 Lancashire,3.02752,2.98055,3.0598,3.14269,3.16272,3.2156,3.78901,4.72307,5.07137,5.61576,5.68491,5.47768,5.26165,5.27902,5.42404,5.4004
E10000016 Kent,3.90363,4.09153,4.22883,4.84383,5.29685,5.89537,6.81037,7.49933,7.90787,7.92014,8.00652,7.84954,6.80034,7.65656,7.24758,7.42071
E10000015 Hertfordshire,4.34431,4.71034,4.91791,5.8149,5.9402,6.5819,7.63836,8.17074,8.12915,8.46787,9.05894,8.8881,8.13485,8.72187,9.01404,8.88895
E10000014 Hampshire,4.39481,4.63176,4.83559,5.7054,5.96329,6.46373,7.57705,7.9169,8.08828,8.13159,8.62771,8.48356,7.49983,8.26076,8.05866,7.91197
E10000013 Gloucestershire,3.65163,3.89823,4.1622,4.53497,4.98677,5.57858,6.42975,7.23823,7.4651,7.55926,7.84543,7.79063,6.75255,7.46384,7.16295,7.20413
E10000012 Essex,3.85553,4.00092,4.19509,4.5791,5.04862,5.93901,7.04628,7.70082,7.71331,7.96721,8.16594,8.34504,6.81819,8.02783,7.7107,7.61118
E10000011 East Sussex,4.10957,4.31728,4.59371,5.02202,5.31158,5.19981,7.56168,8.09787,8.62048,8.45306,8.78702,9.19882,7.58793,8.71908,8.47257,8.36879
E10000009 Dorset,4.82812,4.87982,5.12974,5.93477,6.66625,7.62187,8.76584,9.60776,9.67094,10.0792,10.9598,10.8178,9.05674,10.3559,9.92203,9.61383
E10000008 Devon,4.22094,4.40046,4.48514,4.95989,5.3767,6.51045,7.88346,8.84214,9.21092,9.4486,9.95517,9.64032,8.29652,9.13699,8.86425,8.69108
E10000007 Derbyshire,3.17139,3.19416,3.24427,3.34203,3.42537,3.82534,4.72687,5.71938,5.80827,5.85946,6.34252,5.88586,5.5636,5.58161,5.44675,5.43627
E10000006 Cumbria,3.04009,3.20779,3.29274,3.31031,3.34968,3.64434,4.27606,5.05939,5.44651,5.91846,6.03725,5.83916,5.44221,5.47514,5.72151,5.4437
E10000003 Cambridgeshire,3.79215,3.9379,4.19914,4.66408,4.93526,5.72267,6.28065,6.61361,7.22654,7.20023,7.61946,7.57278,6.50105,7.36363,7.10711,7.06069
E10000002 Buckinghamshire,5.07324,5.53979,5.91829,6.41749,6.84298,9.17342,7.87658,8.32474,9.142,9.19323,9.49805,9.1751,8.15053,9.46851,8.90234,9.10001
E09000033 Westminster,7.02507,7.82066,8.63657,9.98591,10.0829,11.0553,11.3795,11.483,11.9358,13.4626,13.5218,14.2186,13.5709,15.7697,17.2552,16.8922
E09000032 Wandsworth,5.41884,6.09379,6.65945,8.03808,9.07432,9.44397,9.57026,9.90744,10.314,10.8266,12.1502,12.0619,10.8202,11.8895,12.1697,13.3321
E09000031 Waltham Forest,3.47216,3.73663,4.15771,4.81311,5.3142,6.564,7.154,8.02721,8.27906,9.43023,9.57635,8.97656,7.38638,7.98393,7.96357,8.73298
E09000030 Tower Hamlets,3.79671,4.29008,4.84803,5.41314,5.83672,6.41207,6.02025,6.02374,6.32159,6.37857,6.98871,7.13049,6.38371,7.01328,6.57906,6.76183
E09000029 Sutton,3.4683,4.36523,4.33755,5.68766,5.73664,6.37675,7.35336,7.42668,7.93351,7.97103,8.80023,9.22084,8.07026,8.61388,8.8448,8.68614
E09000028 Southwark,3.79692,4.39863,4.79015,5.81444,6.00782,6.00731,6.1678,7.35803,7.84491,7.70985,8.49141,8.79126,8.57709,8.98449,9.11377,9.10679
E09000027 Richmond upon Thames,6.89271,7.53845,8.07809,9.55768,9.62007,9.59848,9.88496,10.7253,11.5938,11.0547,12.0115,12.4785,11.493,12.1891,13.6012,13.8014
E09000026 Redbridge,4.07303,4.60354,4.80954,5.46748,6.17305,6.78212,7.89194,9.47016,8.43167,8.90673,8.71451,8.87266,7.18766,8.11644,8.27788,8.64376
E09000025 Newham,2.7764,3.20038,3.64477,4.30927,4.85189,5.87189,7.23451,7.04736,7.47569,7.68075,8.25759,9.07151,6.50984,7.06838,7.23077,7.30269
E09000024 Merton,4.7122,5.23482,6.12384,7.2549,7.37114,8.46702,9.0774,9.50898,9.07824,9.88528,9.80004,11.4288,9.10629,10.1223,10.1058,9.88143
